shortname,type_constant,class_name,fullname,status,header_file,notes
tms32020,TMS32020,tms32020_device,Texas Instruments TMS32020,working,cpu/tms32025/tms32025.h,
tms32025,TMS32025,tms32025_device,Texas Instruments TMS32025,working,cpu/tms32025/tms32025.h,
tms32026,TMS32026,tms32026_device,Texas Instruments TMS32026,working,cpu/tms32025/tms32025.h,
tms32030,TMS32030,tms32030_device,Texas Instruments TMS320C30,broken_validate,cpu/tms32031/tms32031.h,Test failed: Missing files (exit 2)
tms32031,TMS32031,tms32031_device,Texas Instruments TMS320C31,broken_validate,cpu/tms32031/tms32031.h,Test failed: Missing files (exit 2)
tms32032,TMS32032,tms32032_device,Texas Instruments TMS320C32,broken_validate,cpu/tms32031/tms32031.h,Test failed: Missing files (exit 2)
tms32033,TMS32033,tms32033_device,Texas Instruments TMS320VC33,broken_validate,cpu/tms32031/tms32031.h,Test failed: Missing files (exit 2)
tms32051,TMS32051,tms32051_device,Texas Instruments TMS32051,broken_validate,cpu/tms32051/tms32051.h,Test failed: Fatal error (exit 3)
tms32053,TMS32053,tms32053_device,Texas Instruments TMS32053,broken_validate,cpu/tms32051/tms32051.h,Test failed: Fatal error (exit 3)
tms32082_mp,TMS32082_MP,tms32082_mp_device,Texas Instruments TMS32082 MP,broken_validate,cpu/tms32082/tms32082.h,Test failed: Fatal error (exit 3)
tms32082_pp,TMS32082_PP,tms32082_pp_device,Texas Instruments TMS32082 PP,working,cpu/tms32082/tms32082.h,
tms34010,TMS34010,tms34010_device,Texas Instruments TMS34010,working,cpu/tms34010/tms34010.h,
tms34020,TMS34020,tms34020_device,Texas Instruments TMS34020,working,cpu/tms34010/tms34010.h,
tms7000,TMS7000,tms7000_device,Texas Instruments TMS7000,working,cpu/tms7000/tms7000.h,
tms7001,TMS7001,tms7001_device,Texas Instruments TMS7001,working,cpu/tms7000/tms7000.h,
tms7002,TMS7002,tms7002_device,Texas Instruments TMS7002,working,cpu/tms7000/tms7000.h,
tms7020,TMS7020,tms7020_device,Texas Instruments TMS7020,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms7020_exl,TMS7020_EXL,tms7020_exl_device,Texas Instruments TMS7020 (Exelvision),needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms7040,TMS7040,tms7040_device,Texas Instruments TMS7040,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms7041,TMS7041,tms7041_device,Texas Instruments TMS7041,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms7042,TMS7042,tms7042_device,Texas Instruments TMS7042,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms70c00,TMS70C00,tms70c00_device,Texas Instruments TMS70C00,working,cpu/tms7000/tms7000.h,
tms70c20,TMS70C20,tms70c20_device,Texas Instruments TMS70C20,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms70c40,TMS70C40,tms70c40_device,Texas Instruments TMS70C40,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms70c46,TMS70C46,tms70c46_device,Texas Instruments TMS70C46,needs_internal_rom,cpu/tms7000/tms7000.h,Requires internal ROM/RAM regions not provided by ZBC
tms9900,TMS9900,tms9900_device,Texas Instruments TMS9900,working,cpu/tms9900/tms9900.h,
tms9980a,TMS9980A,tms9980a_device,Texas Instruments TMS9980A,working,cpu/tms9900/tms9980a.h,
tms9981,TMS9981,tms9981_device,Texas Instruments TMS9981,working,cpu/tms9900/tms9980a.h,
tms9995,TMS9995,tms9995_device,Texas Instruments TMS9995,working,cpu/tms9900/tms9995.h,
tms9995_mp9537,TMS9995_MP9537,tms9995_mp9537_device,Texas Instruments TMS9995-MP9537,disabled,cpu/tms9900/tms9995.h,Driver name zbctms9995_mp9537 exceeds MAME 16-char limit
tx0_64kw_cpu,TX0_64KW,tx0_64kw_device,MIT Lincoln Laboratory TX-0 64KW,disabled,cpu/tx0/tx0.h,Driver name zbctx0_64kw_cpu exceeds MAME 16-char limit
tx0_8kw_cpu,TX0_8KW,tx0_8kw_device,MIT Lincoln Laboratory TX-0 8KW (new),disabled,cpu/tx0/tx0.h,Driver name zbctx0_8kw_cpu exceeds MAME 16-char limit
tx0_8kwo_cpu,TX0_8KW_OLD,tx0_8kwo_device,MIT Lincoln Laboratory TX-0 8KW (old),disabled,cpu/tx0/tx0.h,Driver name zbctx0_8kwo_cpu exceeds MAME 16-char limit
tx4925be,TX4925BE,tx4925be_device,Toshiba TX4925 (big),working,cpu/mips/mips3.h,
tx4925le,TX4925LE,tx4925le_device,Toshiba TX4925 (little),working,cpu/mips/mips3.h,
ub8830d,UB8830D,ub8830d_device,UB8830D,needs_internal_rom,cpu/z8/z8.h,Requires internal ROM/RAM regions not provided by ZBC
unsp,UNSP,unsp_device,SunPlus u'nSP (ISA 1.0),broken_validate,cpu/unsp/unsp.h,Test failed: Unknown error -9 (exit -9)
unsp_11,UNSP_11,unsp_11_device,SunPlus u'nSP (ISA 1.1),broken_validate,cpu/unsp/unsp.h,Test failed: Unknown error -9 (exit -9)
unsp_12,UNSP_12,unsp_12_device,SunPlus u'nSP (ISA 1.2),broken_validate,cpu/unsp/unsp.h,Test failed: Unknown error -9 (exit -9)
unsp_20,UNSP_20,unsp_20_device,SunPlus u'nSP (ISA 2.0),broken_validate,cpu/unsp/unsp.h,Test failed: Unknown error -9 (exit -9)
upd7725,UPD7725,upd7725_device,NEC uPD7725,working,cpu/upd7725/upd7725.h,
upd7751,UPD7751,upd7751_device,NEC uPD7751,broken_validate,cpu/mcs48/mcs48.h,Test failed: Unknown error -11 (exit -11)
upd7801,UPD7801,upd7801_device,NEC uPD7801,working,cpu/upd7810/upd7810.h,
upd7807,UPD7807,upd7807_device,NEC uPD7807,working,cpu/upd7810/upd7810.h,
upd7810,UPD7810,upd7810_device,NEC uPD7810,working,cpu/upd7810/upd7810.h,
upd7811,UPD7811,upd7811_device,NEC uPD7811,needs_internal_rom,cpu/upd7810/upd7810.h,Requires internal ROM/RAM regions not provided by ZBC
upd78c05,UPD78C05,upd78c05_device,NEC uPD78C05,working,cpu/upd7810/upd7810.h,
upd78c06,UPD78C06,upd78c06_device,NEC uPD78C06,needs_internal_rom,cpu/upd7810/upd7810.h,Requires internal ROM/RAM regions not provided by ZBC
upd78c10,UPD78C10,upd78c10_device,NEC uPD78C10,working,cpu/upd7810/upd7810.h,
upd78c11,UPD78C11,upd78c11_device,NEC uPD78C11,needs_internal_rom,cpu/upd7810/upd7810.h,Requires internal ROM/RAM regions not provided by ZBC
upd78c14,UPD78C14,upd78c14_device,NEC uPD78C14,needs_internal_rom,cpu/upd7810/upd7810.h,Requires internal ROM/RAM regions not provided by ZBC
upd96050,UPD96050,upd96050_device,NEC uPD96050,working,cpu/upd7725/upd7725.h,
v20,V20,v20_device,NEC V20,working,cpu/nec/nec.h,
v25,V25,v25_device,NEC V25,working,cpu/nec/v25.h,
v30,V30,v30_device,NEC V30,working,cpu/nec/nec.h,
v33,V33,v33_device,NEC V33,working,cpu/nec/nec.h,
v33a,V33A,v33a_device,NEC V33A,working,cpu/nec/nec.h,
v35,V35,v35_device,NEC V35,working,cpu/nec/v25.h,
v40,V40,v40_device,NEC V40,working,cpu/nec/v5x.h,
v50,V50,v50_device,NEC V50,working,cpu/nec/v5x.h,
v53,V53,v53_device,NEC V53,working,cpu/nec/v5x.h,
v53a,V53A,v53a_device,NEC V53A,working,cpu/nec/v5x.h,
v5x_dmau,V5X_DMAU,v5x_dmau_device,V5X DMAU,not_cpu,,DMA unit
v60,V60,v60_device,NEC V60,broken_validate,cpu/v60/v60.h,Test failed: Fatal error (exit 3)
v70,V70,v70_device,NEC V70,broken_validate,cpu/v60/v60.h,Test failed: Fatal error (exit 3)
v810,V810,v810_device,NEC V810,working,cpu/v810/v810.h,
vr4300be,VR4300BE,vr4300be_device,NEC VR4300 (big),working,cpu/mips/mips3.h,
vr4300le,VR4300LE,vr4300le_device,NEC VR4300 (little),working,cpu/mips/mips3.h,
vr4310be,VR4310BE,vr4310be_device,NEC VR4310 (big),working,cpu/mips/mips3.h,
vr4310le,VR4310LE,vr4310le_device,NEC VR4310 (little),working,cpu/mips/mips3.h,
vr5500be,VR5500BE,vr5500be_device,NEC VR5500 (big),working,cpu/mips/mips3.h,
vr5500le,VR5500LE,vr5500le_device,NEC VR5500 (little),working,cpu/mips/mips3.h,
w65c02,W65C02,w65c02_device,WDC W65C02,working,cpu/m6502/w65c02.h,
w65c02s,W65C02S,w65c02s_device,WDC W65C02S,working,cpu/m6502/w65c02s.h,
w65c802,G65802,g65802_device,WDC W65C802,working,cpu/g65816/g65816.h,
w65c816,G65816,g65816_device,WDC W65C816,working,cpu/g65816/g65816.h,
we32100,WE32100,we32100_device,AT&T WE32100,working,cpu/we32000/we32100.h,
xavix,XAVIX,xavix_device,XaviX (SSD 97 / SSD 98),working,cpu/m6502/xavix.h,
xavix2,XAVIX2,xavix2_device,Xavix 2 CPU,working,cpu/xavix2/xavix2.h,
xavix2000,XAVIX2000,xavix2000_device,XaviX (SSD 2000),working,cpu/m6502/xavix2000.h,
xavix2002,XAVIX2002,xavix2002_device,XaviX (SSD 2002) (SuperXaviX),working,cpu/m6502/xavix2000.h,
z80,Z80,z80_device,Zilog Z80,working,cpu/z80/z80.h,
z8001,Z8001,z8001_device,Zilog Z8001,working,cpu/z8000/z8000.h,
z8002,Z8002,z8002_device,Zilog Z8002,working,cpu/z8000/z8000.h,
z80180,Z80180,z80180_device,Zilog Z80180,working,cpu/z180/z180.h,
z80182,Z80182,z80182_device,Zilog Z80182,working,cpu/z180/z180.h,
z8601,Z8601,z8601_device,Zilog Z8601,needs_internal_rom,cpu/z8/z8.h,Requires internal ROM/RAM regions not provided by ZBC
z8611,Z8611,z8611_device,Zilog Z8611,needs_internal_rom,cpu/z8/z8.h,Requires internal ROM/RAM regions not provided by ZBC
z8671,Z8671,z8671_device,Zilog Z8671,broken_validate,cpu/z8/z8.h,Test failed: Missing files (exit 2)
z8681,Z8681,z8681_device,Zilog Z8681,working,cpu/z8/z8.h,
z8682,Z8682,z8682_device,Zilog Z8682,broken_validate,cpu/z8/z8.h,Test failed: Missing files (exit 2)
z86e02,Z86E02,z86e02_device,Zilog Z86E02,needs_internal_rom,cpu/z8/z8.h,Requires internal ROM/RAM regions not provided by ZBC
z8s180,Z8S180,z8s180_device,Zilog Z8S180,working,cpu/z180/z180.h,
